codigo_departamento_indec;nombre_departamento_indec;id_provincia_indec;nombre_provincia_indec
02000;CABA;02;CABA
06007;Adolfo Alsina;06;Buenos Aires
06014;Adolfo Gonzales Chaves;06;Buenos Aires
06021;Alberti;06;Buenos Aires
06028;Almirante Brown;06;Buenos Aires
06035;Avellaneda;06;Buenos Aires
06042;Ayacucho;06;Buenos Aires
06049;Azul;06;Buenos Aires
06056;Bahía Blanca;06;Buenos Aires
06063;Balcarce;06;Buenos Aires
06070;Baradero;06;Buenos Aires
06077;Arrecifes;06;Buenos Aires
06084;Benito Juárez;06;Buenos Aires
06091;Berazategui;06;Buenos Aires
06098;Berisso;06;Buenos Aires
06105;Bolívar;06;Buenos Aires
06112;Bragado;06;Buenos Aires
06119;Brandsen;06;Buenos Aires
06126;Campana;06;Buenos Aires
06134;Cañuelas;06;Buenos Aires
06140;Capitán Sarmiento;06;Buenos Aires
06147;Carlos Casares;06;Buenos Aires
06154;Carlos Tejedor;06;Buenos Aires
06161;Carmen de Areco;06;Buenos Aires
06168;Castelli;06;Buenos Aires
06175;Colón;06;Buenos Aires
06182;Coronel de Marina Leonardo Rosales;06;Buenos Aires
06189;Coronel Dorrego;06;Buenos Aires
06196;Coronel Pringles;06;Buenos Aires
06203;Coronel Suárez;06;Buenos Aires
06210;Chacabuco;06;Buenos Aires
06217;Chascomús/Lezama;06;Buenos Aires
06224;Chivilcoy;06;Buenos Aires
06231;Daireaux;06;Buenos Aires
06238;Dolores;06;Buenos Aires
06245;Ensenada;06;Buenos Aires
06252;Escobar;06;Buenos Aires
06260;Esteban Echeverría;06;Buenos Aires
06266;Exaltación de la Cruz;06;Buenos Aires
06270;Ezeiza;06;Buenos Aires
06274;Florencio Varela;06;Buenos Aires
06277;Florentino Ameghino;06;Buenos Aires
06280;General Alvarado;06;Buenos Aires
06287;General Alvear;06;Buenos Aires
06294;General Arenales;06;Buenos Aires
06301;General Belgrano;06;Buenos Aires
06308;General Guido;06;Buenos Aires
06315;General Juan Madariaga;06;Buenos Aires
06322;General La Madrid;06;Buenos Aires
06329;General Las Heras;06;Buenos Aires
06336;General Lavalle;06;Buenos Aires
06343;General Paz;06;Buenos Aires
06351;General Pinto;06;Buenos Aires
06357;General Pueyrredón;06;Buenos Aires
06364;General Rodríguez;06;Buenos Aires
06371;General San Martín;06;Buenos Aires
06385;General Viamonte;06;Buenos Aires
06392;General Villegas;06;Buenos Aires
06399;Guaminí;06;Buenos Aires
06406;Hipólito Yrigoyen;06;Buenos Aires
